주문번호,주문일시,상품명,구매자성별,구매자나이,주문금액,평점,배송지
1141,2025-07-23 01:00:00,무선마우스,여,45,"85,000원",5.0,인천
1142,2025-07-20 06:00:00,스마트폰,남,33,"85,000원",4.0,대구
1143,2025-12-25 00:00:00,무선마우스,여,56,"900,000원",4.0,경기
1144,2025-09-04 09:00:00,모니터,여,33,"300,000원",4.0,대전
1145,2025-10-24 20:00:00,노트북,남,45,"150,000원",4.0,대구
1146,2025-05-12 13:00:00,헤드셋,남,55,"85,000원",4.0,대구
1147,2025-01-17 06:00:00,헤드셋,남,42,"1,200,000원",5.0,서울
1148,2025-07-04 14:00:00,스마트폰,남,21,"1,200,000원",3.0,광주
1149,2025-11-17 06:00:00,헤드셋,여,58,"85,000원",4.0,경기
1150,2025-06-26 08:00:00,스마트폰,여,26,"1,200,000원",4.0,부산
1151,2025-11-30 15:00:00,노트북,여,58,"900,000원",2.0,광주
1152,2025-03-05 09:00:00,기계식키보드,여,41,"900,000원",2.0,서울
1153,2025-03-04 12:00:00,기계식키보드,여,47,"85,000원",5.0,경기
1154,2025-10-08 17:00:00,무선마우스,남,57,"300,000원",5.0,부산
1155,2025-05-18 06:00:00,노트북,남,39,"150,000원",5.0,대전
1156,2025-07-31 21:00:00,헤드셋,여,37,"300,000원",5.0,대전
1157,2025-04-11 19:00:00,노트북,남,43,"1,200,000원",5.0,대구
1158,2025-05-07 18:00:00,모니터,남,52,"150,000원",3.0,인천
1159,2025-07-07 09:00:00,기계식키보드,남,45,"1,200,000원",5.0,인천
1160,2025-03-03 02:00:00,헤드셋,남,38,"150,000원",4.0,서울
1161,2025-05-29 09:00:00,기계식키보드,남,32,"85,000원",5.0,광주
1162,2025-01-26 14:00:00,노트북,남,29,"35,000원",4.0,대전
1163,2025-08-13 16:00:00,헤드셋,여,33,"900,000원",5.0,부산
1164,2025-11-17 13:00:00,무선마우스,남,28,"900,000원",5.0,부산
1165,2025-05-15 07:00:00,노트북,남,30,"85,000원",1.0,인천
1166,2025-10-25 10:00:00,무선마우스,여,22,"1,200,000원",5.0,부산
1167,2025-04-22 03:00:00,헤드셋,여,59,"1,200,000원",4.0,경기
1168,2025-11-29 12:00:00,기계식키보드,여,31,"35,000원",2.0,경기
1169,2025-01-06 10:00:00,모니터,남,54,"300,000원",4.0,인천
1170,2025-05-05 07:00:00,스마트폰,여,58,"150,000원",4.0,대구
1171,2025-06-28 06:00:00,기계식키보드,남,58,"85,000원",4.0,대구
1172,2025-10-24 22:00:00,무선마우스,여,51,"35,000원",4.0,대구
1173,2025-12-09 22:00:00,노트북,남,58,"85,000원",3.0,인천
1174,2025-11-17 14:00:00,헤드셋,남,33,"35,000원",4.0,서울
1175,2025-10-04 16:00:00,기계식키보드,여,20,"1,200,000원",3.0,대전
1176,2025-08-16 20:00:00,모니터,남,46,"1,200,000원",2.0,대전
1177,2025-02-08 08:00:00,헤드셋,남,56,"300,000원",,부산
1178,2025-11-12 04:00:00,무선마우스,남,20,"85,000원",,경기
1179,2025-12-28 20:00:00,헤드셋,남,48,"85,000원",5.0,광주
1180,2025-12-21 06:00:00,헤드셋,여,43,"300,000원",4.0,대전
1181,2025-05-16 01:00:00,노트북,여,36,"1,200,000원",5.0,경기
1182,2025-01-23 17:00:00,스마트폰,여,54,"900,000원",5.0,광주
1183,2025-07-01 02:00:00,무선마우스,남,50,"300,000원",2.0,서울
1184,2025-06-08 18:00:00,노트북,여,51,"35,000원",5.0,부산
1185,2025-10-28 06:00:00,스마트폰,여,38,"1,200,000원",,대구
1186,2025-03-26 16:00:00,노트북,남,50,"85,000원",5.0,광주
1187,2025-12-18 12:00:00,스마트폰,여,58,"85,000원",4.0,경기
1188,2025-01-12 07:00:00,스마트폰,여,39,"150,000원",5.0,대전
1189,2025-05-27 07:00:00,스마트폰,여,47,"150,000원",3.0,대전
1190,2025-03-15 19:00:00,노트북,남,22,"900,000원",4.0,대구
1191,2025-07-01 17:00:00,헤드셋,여,51,"85,000원",5.0,대구
1192,2025-10-22 13:00:00,스마트폰,여,41,"1,200,000원",4.0,인천
1193,2025-02-08 08:00:00,헤드셋,여,34,"85,000원",3.0,인천
1194,2025-12-08 06:00:00,무선마우스,남,57,"85,000원",1.0,부산
1195,2025-05-23 22:00:00,모니터,남,38,"35,000원",5.0,경기
1196,2025-07-04 19:00:00,헤드셋,여,50,"900,000원",,인천
1197,2025-06-06 16:00:00,모니터,여,45,"35,000원",4.0,부산
1198,2025-03-27 10:00:00,스마트폰,여,24,"150,000원",4.0,서울
1199,2025-02-18 13:00:00,모니터,남,39,"35,000원",4.0,대구
1200,2025-12-23 23:00:00,모니터,남,21,"150,000원",5.0,경기
1201,2025-03-26 17:00:00,스마트폰,여,40,"300,000원",5.0,경기
1202,2025-09-27 11:00:00,헤드셋,여,55,"150,000원",4.0,부산
1203,2025-01-07 01:00:00,스마트폰,남,47,"85,000원",3.0,인천
1204,2025-07-02 20:00:00,무선마우스,남,39,"150,000원",3.0,대구
1205,2025-11-23 08:00:00,기계식키보드,여,56,"85,000원",5.0,대구
1206,2025-12-26 07:00:00,노트북,남,58,"900,000원",4.0,경기
1207,2025-12-07 13:00:00,스마트폰,여,55,"85,000원",5.0,경기
1208,2025-04-20 16:00:00,스마트폰,여,30,"85,000원",4.0,대구
1209,2025-07-07 06:00:00,모니터,남,22,"85,000원",5.0,서울
1210,2025-12-02 16:00:00,무선마우스,여,56,"900,000원",2.0,부산
1211,2025-11-09 23:00:00,모니터,여,39,"1,200,000원",4.0,서울
1212,2025-03-18 04:00:00,헤드셋,여,51,"1,200,000원",4.0,인천
1213,2025-07-20 05:00:00,스마트폰,여,44,"150,000원",5.0,서울
1214,2025-02-03 14:00:00,스마트폰,여,40,"300,000원",4.0,서울
1215,2025-11-08 22:00:00,모니터,여,35,"1,200,000원",5.0,인천
1216,2025-12-08 18:00:00,스마트폰,여,20,"150,000원",4.0,광주
1217,2025-03-19 20:00:00,헤드셋,남,42,"900,000원",5.0,대전
1218,2025-11-25 06:00:00,기계식키보드,남,43,"1,200,000원",5.0,대전
1219,2025-08-26 02:00:00,노트북,여,44,"1,200,000원",5.0,광주
1220,2025-11-23 03:00:00,노트북,남,26,"85,000원",4.0,부산
1221,2025-08-15 05:00:00,노트북,여,57,"85,000원",5.0,대전
1222,2025-05-29 12:00:00,기계식키보드,여,58,"150,000원",4.0,대구
1223,2025-02-27 21:00:00,스마트폰,남,54,"85,000원",4.0,서울
1224,2025-10-31 02:00:00,모니터,여,33,"150,000원",5.0,부산
1225,2025-02-04 08:00:00,무선마우스,여,28,"35,000원",5.0,인천
1226,2025-04-05 09:00:00,스마트폰,남,22,"35,000원",5.0,대전
1227,2025-02-09 00:00:00,기계식키보드,남,57,"300,000원",5.0,광주
1228,2025-09-24 18:00:00,헤드셋,남,39,"1,200,000원",5.0,부산
1229,2025-06-10 05:00:00,기계식키보드,남,52,"35,000원",5.0,광주
1230,2025-03-16 20:00:00,노트북,남,51,"150,000원",5.0,서울
1231,2025-12-10 13:00:00,스마트폰,남,55,"85,000원",1.0,대구
1232,2025-10-28 14:00:00,노트북,여,45,"85,000원",5.0,인천
1233,2025-01-31 06:00:00,무선마우스,남,24,"1,200,000원",5.0,인천
1234,2025-04-25 00:00:00,헤드셋,남,49,"35,000원",1.0,서울
1235,2025-03-21 17:00:00,노트북,여,36,"300,000원",3.0,광주
1236,2025-11-16 01:00:00,무선마우스,여,25,"300,000원",5.0,부산
1237,2025-04-13 18:00:00,기계식키보드,남,34,"300,000원",1.0,대구
1238,2025-11-01 16:00:00,노트북,여,20,"300,000원",4.0,인천
1239,2025-12-08 10:00:00,노트북,여,32,"85,000원",,서울
1240,2025-11-26 10:00:00,모니터,여,53,"85,000원",3.0,서울
1241,2025-07-23 04:00:00,헤드셋,여,49,"85,000원",4.0,경기
1242,2025-10-31 15:00:00,헤드셋,여,38,"150,000원",5.0,광주
1243,2025-02-07 04:00:00,기계식키보드,여,21,"300,000원",1.0,경기
1244,2025-07-14 19:00:00,모니터,여,31,"900,000원",5.0,부산
1245,2025-03-22 13:00:00,무선마우스,남,59,"85,000원",3.0,대전
1246,2025-02-27 12:00:00,무선마우스,여,43,"300,000원",5.0,서울
1247,2025-02-23 18:00:00,기계식키보드,남,30,"35,000원",4.0,광주
1248,2025-03-10 08:00:00,헤드셋,여,21,"1,200,000원",5.0,부산
1249,2025-11-09 02:00:00,무선마우스,여,20,"85,000원",5.0,부산
1250,2025-02-20 18:00:00,기계식키보드,남,47,"85,000원",,대구
1251,2025-07-29 00:00:00,무선마우스,여,23,"35,000원",4.0,경기
1252,2025-10-14 17:00:00,스마트폰,여,49,"1,200,000원",5.0,부산
1253,2025-02-09 18:00:00,노트북,남,26,"150,000원",5.0,대구
1254,2025-10-31 19:00:00,헤드셋,여,41,"85,000원",,대구
1255,2025-02-10 14:00:00,스마트폰,여,45,"1,200,000원",4.0,광주
1256,2025-06-22 05:00:00,기계식키보드,남,48,"900,000원",5.0,경기
1257,2025-08-12 18:00:00,기계식키보드,남,44,"85,000원",4.0,경기
1258,2025-06-15 12:00:00,스마트폰,여,29,"300,000원",2.0,서울
1259,2025-08-09 15:00:00,노트북,남,39,"35,000원",5.0,부산
1260,2025-12-09 20:00:00,노트북,여,33,"1,200,000원",5.0,대구
1261,2025-05-06 20:00:00,모니터,여,52,"35,000원",5.0,서울
1262,2025-06-18 04:00:00,무선마우스,남,24,"300,000원",4.0,광주
1263,2025-07-31 04:00:00,모니터,남,25,"150,000원",4.0,부산
1264,2025-08-07 01:00:00,노트북,남,41,"300,000원",4.0,부산
1265,2025-01-14 05:00:00,스마트폰,남,36,"150,000원",,서울
1266,2025-04-10 20:00:00,무선마우스,여,34,"35,000원",4.0,대구
1267,2025-04-01 02:00:00,스마트폰,남,58,"150,000원",4.0,서울
1268,2025-04-25 09:00:00,모니터,남,59,"85,000원",4.0,부산
1269,2025-03-08 07:00:00,기계식키보드,여,47,"150,000원",3.0,서울
1270,2025-09-15 15:00:00,스마트폰,여,21,"150,000원",3.0,서울
1271,2025-06-13 18:00:00,모니터,여,37,"85,000원",5.0,광주
1272,2025-02-24 16:00:00,모니터,여,46,"150,000원",5.0,부산
1273,2025-06-29 15:00:00,모니터,여,40,"85,000원",5.0,경기
1274,2025-11-01 18:00:00,기계식키보드,여,42,"85,000원",5.0,광주
1275,2025-04-10 07:00:00,기계식키보드,여,26,"150,000원",,대전
1276,2025-05-15 23:00:00,기계식키보드,여,38,"85,000원",3.0,대구
1277,2025-03-31 03:00:00,무선마우스,여,28,"1,200,000원",1.0,부산
1278,2025-03-13 00:00:00,기계식키보드,남,31,"150,000원",3.0,광주
1279,2025-10-16 12:00:00,기계식키보드,남,49,"150,000원",5.0,대전
1280,2025-01-16 02:00:00,기계식키보드,여,26,"300,000원",5.0,광주
1281,2025-04-19 12:00:00,스마트폰,남,21,"300,000원",5.0,경기
1282,2025-06-28 14:00:00,기계식키보드,여,36,"300,000원",4.0,서울
1283,2025-06-05 18:00:00,무선마우스,여,30,"150,000원",4.0,경기
1284,2025-04-13 21:00:00,모니터,여,31,"300,000원",5.0,부산
1285,2025-07-19 19:00:00,스마트폰,여,22,"1,200,000원",2.0,광주
1286,2025-09-14 06:00:00,노트북,남,40,"35,000원",5.0,광주
1287,2025-01-24 04:00:00,기계식키보드,남,33,"300,000원",,부산
1288,2025-04-28 00:00:00,모니터,여,34,"85,000원",4.0,대전
1289,2025-08-03 14:00:00,모니터,남,29,"300,000원",5.0,서울
1290,2025-11-12 01:00:00,스마트폰,남,55,"1,200,000원",5.0,대전
1291,2025-04-24 07:00:00,노트북,여,29,"85,000원",4.0,광주
1292,2025-09-29 02:00:00,헤드셋,여,36,"85,000원",2.0,부산
1293,2025-06-05 21:00:00,무선마우스,남,44,"85,000원",4.0,대전
1294,2025-06-16 14:00:00,헤드셋,남,46,"85,000원",5.0,인천
1295,2025-04-11 03:00:00,모니터,여,52,"900,000원",1.0,경기
1296,2025-01-13 06:00:00,헤드셋,여,30,"900,000원",5.0,인천
1297,2025-08-11 15:00:00,모니터,남,32,"85,000원",,인천
1298,2025-02-17 08:00:00,헤드셋,여,20,"85,000원",2.0,경기
1299,2025-03-28 00:00:00,모니터,여,50,"85,000원",4.0,부산
1300,2025-10-20 01:00:00,모니터,여,52,"1,200,000원",5.0,경기
1301,2025-07-09 07:00:00,스마트폰,남,40,"300,000원",5.0,서울
1302,2025-02-11 23:00:00,노트북,남,35,"35,000원",4.0,인천
1303,2025-08-15 21:00:00,모니터,여,58,"85,000원",5.0,광주
1304,2025-08-12 00:00:00,무선마우스,남,42,"300,000원",5.0,인천
1305,2025-03-01 19:00:00,무선마우스,여,29,"1,200,000원",4.0,대전
1306,2025-01-24 19:00:00,기계식키보드,남,52,"1,200,000원",2.0,부산
1307,2025-04-10 06:00:00,모니터,남,41,"85,000원",,경기
1308,2025-07-31 20:00:00,모니터,남,25,"150,000원",3.0,광주
1309,2025-01-12 13:00:00,모니터,여,55,"1,200,000원",1.0,대전
1310,2025-10-22 03:00:00,헤드셋,여,29,"150,000원",4.0,대구
1311,2025-03-20 15:00:00,모니터,여,35,"1,200,000원",3.0,광주
1312,2025-02-22 17:00:00,모니터,남,32,"150,000원",,부산
1313,2025-11-09 03:00:00,무선마우스,여,39,"150,000원",4.0,부산
1314,2025-02-13 08:00:00,노트북,여,23,"85,000원",5.0,부산
1315,2025-12-03 09:00:00,노트북,여,39,"85,000원",3.0,대전
1316,2025-04-25 16:00:00,기계식키보드,여,41,"300,000원",3.0,경기
1317,2025-12-09 05:00:00,무선마우스,남,48,"150,000원",5.0,부산
1318,2025-07-10 09:00:00,모니터,여,35,"900,000원",,대전
1319,2025-09-22 17:00:00,노트북,여,42,"1,200,000원",3.0,서울
1320,2025-04-09 01:00:00,스마트폰,남,49,"85,000원",5.0,서울
1321,2025-11-06 21:00:00,스마트폰,여,49,"35,000원",2.0,인천
1322,2025-07-19 23:00:00,스마트폰,남,22,"1,200,000원",5.0,인천
1323,2025-01-29 14:00:00,모니터,남,43,"300,000원",,경기
1324,2025-12-20 04:00:00,모니터,남,56,"300,000원",5.0,대구
1325,2025-07-20 11:00:00,기계식키보드,여,32,"150,000원",5.0,인천
1326,2025-08-11 18:00:00,기계식키보드,남,51,"300,000원",2.0,인천
1327,2025-07-30 03:00:00,기계식키보드,남,56,"85,000원",2.0,인천
1328,2025-04-12 04:00:00,헤드셋,남,31,"300,000원",3.0,광주
1329,2025-08-02 14:00:00,스마트폰,여,27,"1,200,000원",4.0,대전
1330,2025-12-09 12:00:00,모니터,남,43,"900,000원",5.0,인천
1331,2025-11-22 13:00:00,스마트폰,남,35,"900,000원",4.0,부산
1332,2025-05-20 20:00:00,기계식키보드,남,51,"150,000원",2.0,인천
1333,2025-12-29 19:00:00,모니터,여,53,"300,000원",5.0,광주
1334,2025-10-30 18:00:00,무선마우스,남,54,"300,000원",,경기
1335,2025-09-30 12:00:00,노트북,남,51,"900,000원",4.0,광주
1336,2025-01-02 14:00:00,노트북,여,36,"150,000원",5.0,부산
1337,2025-05-20 06:00:00,기계식키보드,여,21,"300,000원",2.0,광주
1338,2025-04-29 12:00:00,스마트폰,여,45,"150,000원",4.0,부산
1339,2025-02-15 18:00:00,무선마우스,남,36,"85,000원",4.0,경기
1340,2025-10-20 19:00:00,모니터,남,57,"1,200,000원",,대구
1341,2025-03-17 23:00:00,스마트폰,남,21,"85,000원",5.0,인천
1342,2025-05-12 11:00:00,기계식키보드,남,27,"300,000원",5.0,서울
1343,2025-05-09 21:00:00,스마트폰,여,25,"300,000원",3.0,대구
1344,2025-08-24 18:00:00,기계식키보드,남,28,"300,000원",4.0,인천
1345,2025-06-07 10:00:00,헤드셋,여,20,"900,000원",3.0,서울
1346,2025-05-01 16:00:00,노트북,남,24,"900,000원",5.0,부산
1347,2025-02-11 04:00:00,노트북,남,58,"300,000원",3.0,광주
1348,2025-06-21 12:00:00,스마트폰,남,28,"300,000원",4.0,부산
1349,2025-09-26 14:00:00,무선마우스,여,33,"1,200,000원",2.0,부산
1350,2025-06-24 03:00:00,모니터,여,46,"1,200,000원",5.0,인천
1351,2025-03-12 02:00:00,기계식키보드,여,28,"150,000원",4.0,경기
1352,2025-08-23 10:00:00,모니터,여,55,"150,000원",4.0,부산
1353,2025-11-06 08:00:00,노트북,남,48,"900,000원",3.0,대전
1354,2025-02-08 21:00:00,무선마우스,남,39,"35,000원",5.0,부산
1355,2025-05-30 22:00:00,무선마우스,남,34,"1,200,000원",5.0,부산
1356,2025-03-24 12:00:00,모니터,남,55,"150,000원",,광주
1357,2025-05-08 08:00:00,노트북,남,22,"1,200,000원",1.0,인천
1358,2025-02-02 23:00:00,모니터,여,42,"1,200,000원",,서울
1359,2025-08-13 14:00:00,스마트폰,여,28,"85,000원",4.0,대구
1360,2025-10-04 11:00:00,무선마우스,남,49,"35,000원",4.0,부산
1361,2025-04-04 23:00:00,무선마우스,남,38,"1,200,000원",5.0,대구
1362,2025-05-31 10:00:00,스마트폰,남,57,"85,000원",5.0,경기
1363,2025-03-08 23:00:00,노트북,남,22,"35,000원",4.0,경기
1364,2025-08-04 19:00:00,무선마우스,여,22,"85,000원",5.0,대전
1365,2025-10-01 21:00:00,헤드셋,남,53,"85,000원",4.0,경기
1366,2025-02-11 00:00:00,헤드셋,남,21,"35,000원",5.0,부산
1367,2025-08-29 16:00:00,헤드셋,남,46,"1,200,000원",5.0,대구
1368,2025-06-03 04:00:00,기계식키보드,남,42,"1,200,000원",4.0,서울
1369,2025-05-21 20:00:00,기계식키보드,여,51,"150,000원",4.0,인천
1370,2025-12-29 23:00:00,노트북,남,54,"1,200,000원",2.0,대구
1371,2025-02-13 18:00:00,스마트폰,여,59,"1,200,000원",4.0,인천
1372,2025-06-01 09:00:00,모니터,여,37,"1,200,000원",4.0,대전
1373,2025-09-22 06:00:00,노트북,남,46,"150,000원",2.0,대구
1374,2025-02-09 23:00:00,모니터,남,30,"35,000원",4.0,부산
1375,2025-09-10 11:00:00,노트북,남,58,"150,000원",2.0,서울
1376,2025-08-24 15:00:00,기계식키보드,남,38,"1,200,000원",5.0,부산
1377,2025-07-06 09:00:00,헤드셋,남,44,"300,000원",5.0,경기
1378,2025-05-03 18:00:00,스마트폰,여,26,"1,200,000원",5.0,서울
1379,2025-11-18 21:00:00,기계식키보드,여,50,"150,000원",4.0,광주
1380,2025-01-22 22:00:00,스마트폰,여,21,"85,000원",4.0,광주
1381,2025-05-15 08:00:00,모니터,여,57,"85,000원",5.0,대구
1382,2025-03-20 03:00:00,노트북,여,24,"150,000원",,대전
1383,2025-03-15 11:00:00,무선마우스,남,33,"900,000원",,부산
1384,2025-12-30 00:00:00,무선마우스,남,37,"85,000원",5.0,인천
1385,2025-08-30 13:00:00,스마트폰,여,55,"300,000원",5.0,부산
1386,2025-10-23 19:00:00,헤드셋,남,23,"150,000원",5.0,부산
1387,2025-08-01 21:00:00,헤드셋,남,43,"85,000원",4.0,대구
1388,2025-10-04 20:00:00,스마트폰,여,32,"85,000원",5.0,대구
1389,2025-01-05 20:00:00,기계식키보드,여,40,"35,000원",4.0,경기
1390,2025-04-12 09:00:00,무선마우스,여,52,"1,200,000원",4.0,대전
1391,2025-08-16 15:00:00,기계식키보드,남,39,"85,000원",5.0,서울
1392,2025-01-25 07:00:00,모니터,여,24,"85,000원",5.0,부산
1393,2025-12-24 18:00:00,무선마우스,여,43,"35,000원",4.0,인천
1394,2025-06-07 20:00:00,모니터,남,54,"150,000원",5.0,광주
1395,2025-06-23 15:00:00,노트북,남,49,"150,000원",4.0,광주
1396,2025-12-19 17:00:00,기계식키보드,여,47,"35,000원",4.0,대구
1397,2025-02-27 21:00:00,스마트폰,남,26,"35,000원",5.0,대구
1398,2025-12-15 05:00:00,무선마우스,여,54,"900,000원",,경기
1399,2025-09-14 10:00:00,기계식키보드,남,49,"1,200,000원",4.0,서울
1400,2025-08-14 20:00:00,스마트폰,여,53,"35,000원",5.0,광주
1401,2025-03-27 03:00:00,노트북,남,58,"1,200,000원",4.0,경기
1402,2025-06-24 21:00:00,무선마우스,남,28,"85,000원",5.0,대구
1403,2025-05-26 16:00:00,모니터,남,31,"300,000원",5.0,대전
1404,2025-02-02 10:00:00,노트북,여,48,"150,000원",5.0,인천
1405,2025-01-09 21:00:00,헤드셋,여,29,"35,000원",,경기
1406,2025-06-06 18:00:00,스마트폰,여,46,"300,000원",3.0,대전
1407,2025-10-08 11:00:00,무선마우스,남,38,"150,000원",4.0,부산
1408,2025-05-10 21:00:00,무선마우스,남,32,"900,000원",5.0,대구
1409,2025-08-30 07:00:00,노트북,남,56,"150,000원",5.0,대구
1410,2025-04-24 08:00:00,무선마우스,여,51,"35,000원",5.0,경기
1411,2025-09-09 23:00:00,스마트폰,남,34,"300,000원",1.0,인천
1412,2025-12-01 16:00:00,노트북,여,40,"300,000원",5.0,경기
1413,2025-01-01 01:00:00,모니터,여,22,"300,000원",5.0,대전
1414,2025-09-23 08:00:00,노트북,여,27,"150,000원",2.0,인천
1415,2025-03-23 05:00:00,노트북,여,25,"1,200,000원",5.0,대구
1416,2025-10-08 12:00:00,모니터,여,48,"1,200,000원",4.0,대전
1417,2025-11-23 09:00:00,헤드셋,남,38,"150,000원",5.0,경기
1418,2025-02-08 05:00:00,스마트폰,남,36,"35,000원",1.0,서울
1419,2025-05-13 06:00:00,헤드셋,남,29,"150,000원",3.0,광주
1420,2025-10-20 06:00:00,헤드셋,남,52,"1,200,000원",3.0,경기
1421,2025-01-04 17:00:00,헤드셋,남,32,"150,000원",2.0,경기
1422,2025-03-13 05:00:00,기계식키보드,남,46,"300,000원",5.0,대전
1423,2025-05-07 17:00:00,헤드셋,여,31,"35,000원",5.0,서울
1424,2025-01-05 09:00:00,기계식키보드,남,21,"35,000원",5.0,서울
1425,2025-12-26 03:00:00,모니터,여,29,"900,000원",4.0,부산
1426,2025-03-20 23:00:00,스마트폰,여,40,"150,000원",4.0,서울
1427,2025-09-11 18:00:00,헤드셋,여,42,"85,000원",4.0,인천
1428,2025-12-21 12:00:00,무선마우스,여,20,"85,000원",4.0,광주
1429,2025-09-11 10:00:00,모니터,여,52,"85,000원",4.0,광주
1430,2025-01-27 10:00:00,기계식키보드,남,45,"300,000원",5.0,부산
1431,2025-03-22 05:00:00,스마트폰,남,34,"85,000원",4.0,인천
1432,2025-03-27 16:00:00,노트북,남,41,"150,000원",5.0,대전
1433,2025-10-16 05:00:00,스마트폰,여,44,"900,000원",5.0,부산
1434,2025-05-12 00:00:00,스마트폰,남,20,"900,000원",1.0,대전
1435,2025-01-24 00:00:00,헤드셋,남,45,"150,000원",,부산
1436,2025-08-13 07:00:00,헤드셋,여,40,"85,000원",3.0,광주
1437,2025-06-12 23:00:00,기계식키보드,여,43,"150,000원",4.0,대전
1438,2025-05-22 05:00:00,기계식키보드,남,58,"150,000원",,인천
1439,2025-12-18 18:00:00,헤드셋,여,35,"1,200,000원",4.0,대구
1440,2025-04-12 06:00:00,헤드셋,여,51,"900,000원",1.0,광주
1441,2025-01-20 02:00:00,무선마우스,여,35,"35,000원",4.0,대구
1442,2025-01-09 15:00:00,무선마우스,남,32,"85,000원",4.0,경기
1443,2025-02-07 11:00:00,모니터,여,51,"85,000원",5.0,대전
1444,2025-01-01 21:00:00,헤드셋,여,43,"1,200,000원",5.0,대구
1445,2025-12-25 09:00:00,노트북,여,32,"300,000원",5.0,광주
1446,2025-02-07 06:00:00,무선마우스,여,30,"35,000원",5.0,경기
1447,2025-01-22 10:00:00,기계식키보드,여,34,"35,000원",5.0,대구
1448,2025-10-31 22:00:00,스마트폰,남,29,"35,000원",5.0,경기
1449,2025-07-24 08:00:00,모니터,남,22,"900,000원",5.0,광주
1450,2025-11-24 19:00:00,무선마우스,여,35,"300,000원",,경기
1451,2025-06-21 05:00:00,스마트폰,여,36,"1,200,000원",4.0,광주
1452,2025-10-27 03:00:00,스마트폰,남,44,"300,000원",2.0,서울
1453,2025-03-07 00:00:00,무선마우스,남,49,"85,000원",4.0,광주
1454,2025-02-22 18:00:00,노트북,여,54,"1,200,000원",5.0,경기
1455,2025-06-01 14:00:00,노트북,여,56,"900,000원",3.0,대전
1456,2025-05-23 19:00:00,모니터,남,32,"85,000원",5.0,광주
1457,2025-07-19 04:00:00,노트북,여,43,"300,000원",5.0,광주
1458,2025-03-22 07:00:00,모니터,여,57,"35,000원",,대전
1459,2025-04-09 04:00:00,기계식키보드,남,45,"300,000원",5.0,인천
1460,2025-07-19 14:00:00,무선마우스,남,28,"85,000원",5.0,인천
1461,2025-01-13 18:00:00,스마트폰,남,38,"900,000원",5.0,경기
1462,2025-11-29 11:00:00,모니터,남,47,"900,000원",,인천
1463,2025-06-02 17:00:00,노트북,여,26,"900,000원",4.0,대구
1464,2025-10-22 01:00:00,모니터,여,41,"1,200,000원",,인천
1465,2025-01-28 13:00:00,헤드셋,여,49,"300,000원",2.0,서울
1466,2025-07-13 12:00:00,모니터,여,56,"35,000원",5.0,인천
1467,2025-12-21 07:00:00,노트북,남,35,"35,000원",4.0,대구
1468,2025-05-02 16:00:00,헤드셋,남,55,"150,000원",4.0,광주
1469,2025-09-17 20:00:00,헤드셋,여,24,"900,000원",5.0,대구
1470,2025-09-11 06:00:00,노트북,여,48,"85,000원",5.0,경기
1471,2025-01-15 16:00:00,헤드셋,여,42,"35,000원",4.0,부산
1472,2025-10-19 21:00:00,무선마우스,남,25,"900,000원",3.0,대구
1473,2025-01-07 14:00:00,스마트폰,남,55,"35,000원",,경기
1474,2025-02-09 20:00:00,무선마우스,남,52,"300,000원",4.0,경기
1475,2025-03-28 07:00:00,무선마우스,여,35,"150,000원",3.0,인천
1476,2025-12-25 03:00:00,노트북,여,53,"900,000원",5.0,인천
1477,2025-05-24 21:00:00,노트북,여,45,"1,200,000원",4.0,경기
1478,2025-10-06 03:00:00,스마트폰,남,56,"1,200,000원",5.0,광주
1479,2025-02-09 19:00:00,모니터,여,32,"35,000원",4.0,서울
1480,2025-09-20 07:00:00,무선마우스,남,36,"300,000원",4.0,광주
1481,2025-03-13 08:00:00,헤드셋,여,51,"85,000원",,경기
1482,2025-07-15 23:00:00,스마트폰,여,51,"900,000원",,인천
1483,2025-10-01 11:00:00,무선마우스,남,47,"150,000원",5.0,대구
1484,2025-08-23 15:00:00,모니터,남,48,"300,000원",5.0,서울
1485,2025-02-28 02:00:00,헤드셋,여,44,"35,000원",3.0,부산
1486,2025-07-17 04:00:00,무선마우스,남,41,"300,000원",4.0,광주
1487,2025-06-04 18:00:00,기계식키보드,남,46,"150,000원",5.0,대구
1488,2025-01-23 01:00:00,스마트폰,남,57,"300,000원",4.0,인천
1489,2025-05-04 06:00:00,노트북,남,39,"900,000원",1.0,대구
1490,2025-11-26 08:00:00,무선마우스,남,43,"35,000원",4.0,대구
1491,2025-05-30 15:00:00,헤드셋,여,27,"150,000원",4.0,인천
1492,2025-10-15 07:00:00,헤드셋,여,33,"35,000원",2.0,대구
1493,2025-01-22 21:00:00,스마트폰,여,58,"85,000원",4.0,경기
1494,2025-09-27 21:00:00,스마트폰,여,33,"900,000원",,광주
1495,2025-01-01 01:00:00,헤드셋,남,24,"150,000원",4.0,서울
1496,2025-01-16 14:00:00,헤드셋,여,40,"85,000원",5.0,광주
1497,2025-07-13 16:00:00,헤드셋,남,34,"85,000원",4.0,대전
1498,2025-04-09 13:00:00,무선마우스,여,55,"85,000원",5.0,인천
1499,2025-03-05 13:00:00,헤드셋,여,52,"150,000원",5.0,서울
1500,2025-03-10 14:00:00,노트북,남,36,"35,000원",3.0,경기
1501,2025-01-01 13:00:00,헤드셋,여,39,"300,000원",3.0,인천
1502,2025-07-11 15:00:00,노트북,여,20,"300,000원",5.0,경기
